,32 bytes, 64 bytes, 128 bytes, 256 bytes, 512 bytes, 1024 bytes
Sha1, 76.30,92.61,116.9,171.4,280.0,520.3
Sha256, 58.36,76.96,104.3,158.4,263.7,476.5
Sha256-simd, 53.50,82.94,110.9,163.5,270.9,484.2
Sha512, 131.5,133.3,216.9,306.2,484.9,843.0
MD5, 117.7,208.8,304.6,497.2,888.7,1661
Fnv, 18.18,47.83,110.2,269.4,590.6,1241
CityHash, 9.760,23.06,54.97,92.58,184.6,360.1
FarmHash, 7.602,10.81,42.17,76.98,148.0,293.9
Murmur3, 10.31,15.00,24.56,44.62,87.04,181.3
Highwayhash, 59.71,64.27,73.25,89.83,123.3,189.5
XXHash64, 10.02,11.72,15.22,22.55,38.64,73.77
XXHash64_ASM, 10.06,12.02,15.66,24.08,39.33,73.27
MapHash64, 2.306,3.188,5.009,7.242,10.95,18.59
StdMapHash64, 6.419,7.637,10.18,16.97,42.79,94.92
ChibiHash64, 11.98,19.42,36.06,69.53,142.7,285.6
